trialnum,instruction,condition_num,valence,image,rest_duration
1,LOOK,2,negative,images/3350.bmp,3
2,DECREASE,3,negative,images/9250.bmp,1
3,LOOK,2,negative,images/3120.bmp,3
4,LOOK,1,neutral,images/7550.bmp,3
5,DECREASE,3,negative,images/9420.bmp,1
6,DECREASE,3,negative,images/3230.bmp,1
7,LOOK,1,neutral,images/2595.bmp,3
8,LOOK,2,negative,images/9414.bmp,1
9,LOOK,2,negative,images/3051.bmp,3
10,LOOK,1,neutral,images/2102.bmp,1
11,LOOK,2,negative,images/3550.bmp,1
12,LOOK,1,neutral,images/2272.bmp,3
13,LOOK,2,negative,images/2053.bmp,1
14,LOOK,2,negative,images/3500.bmp,1
15,LOOK,1,neutral,images/2390.bmp,3
16,DECREASE,3,negative,images/3530.bmp,1
17,LOOK,2,negative,images/2703.bmp,1
18,LOOK,1,neutral,images/2487.bmp,3
19,LOOK,2,negative,images/9400.bmp,1
20,LOOK,1,neutral,images/2036.bmp,3
21,LOOK,2,negative,images/9040.bmp,3
22,DECREASE,3,negative,images/6520.bmp,1
23,DECREASE,3,negative,images/3030.bmp,1
24,LOOK,1,neutral,images/2308.bmp,3
25,DECREASE,3,negative,images/3100.bmp,1
26,DECREASE,3,negative,images/9910.bmp,1
27,LOOK,2,negative,images/9921.bmp,3
28,DECREASE,3,negative,images/2683.bmp,3
29,LOOK,1,neutral,images/2411.bmp,3
30,LOOK,2,negative,images/3102.bmp,1
31,LOOK,2,negative,images/9050.bmp,1
32,DECREASE,3,negative,images/3110.bmp,1
33,DECREASE,3,negative,images/6838.bmp,3
34,LOOK,1,neutral,images/2393.bmp,3
35,LOOK,2,negative,images/6831.bmp,1
36,LOOK,1,neutral,images/9210.bmp,3
37,DECREASE,3,negative,images/6212.bmp,1
38,LOOK,1,neutral,images/8312.bmp,3
39,DECREASE,3,negative,images/9254.bmp,3
40,DECREASE,3,negative,images/9410.bmp,3
41,LOOK,1,neutral,images/2026.bmp,3
42,LOOK,2,negative,images/9252.bmp,1
43,LOOK,1,neutral,images/7130.bmp,3
44,LOOK,1,neutral,images/2377.bmp,1
45,DECREASE,3,negative,images/3170.bmp,3