target,targetcolor,w1,w1color,w2,w2color,w3,w3color,w4,w4color,corrAns
red,blue,red,green,green,yellow,blue,red,yellow,blue,3
red,blue,red,green,green,blue,yellow,red,blue,yellow,4
red,blue,green,red,yellow,blue,blue,green,red,yellow,3
red,green,blue,yellow,red,blue,yellow,green,green,red,4
red,green,red,green,green,blue,yellow,red,blue,yellow,2
red,green,blue,red,green,yellow,yellow,blue,red,green,2
red,yellow,green,green,red,yellow,yellow,red,blue,blue,3
red,yellow,red,red,blue,green,green,blue,yellow,yellow,4
red,yellow,blue,yellow,red,green,yellow,red,green,blue,3
blue,red,red,yellow,green,blue,blue,green,yellow,red,1
blue,red,red,yellow,blue,blue,yellow,red,green,green,1
blue,red,green,yellow,yellow,blue,red,green,blue,red,3
blue,green,blue,green,yellow,red,red,blue,green,yellow,4
blue,green,blue,red,green,green,red,yellow,yellow,blue,2
blue,green,blue,blue,green,yellow,yellow,green,red,red,2
blue,yellow,yellow,yellow,blue,red,red,blue,green,green,1
blue,yellow,red,red,green,blue,yellow,yellow,blue,green,3
blue,yellow,yellow,green,red,yellow,blue,red,green,blue,1
green,red,yellow,green,green,yellow,blue,red,red,blue,4
green,red,blue,green,green,blue,red,red,yellow,yellow,3
green,red,green,red,blue,yellow,red,blue,yellow,green,3
green,blue,blue,blue,yellow,yellow,red,green,green,red,1
green,blue,red,blue,yellow,yellow,green,green,blue,red,4
green,blue,red,green,green,yellow,yellow,blue,blue,red,4
green,yellow,red,yellow,green,blue,yellow,green,blue,red,3
green,yellow,green,red,red,yellow,blue,green,yellow,blue,4
green,yellow,yellow,blue,red,yellow,green,green,blue,red,1
yellow,red,blue,blue,red,green,green,red,yellow,yellow,2
yellow,red,red,yellow,blue,green,green,red,yellow,blue,1
yellow,red,green,yellow,blue,red,yellow,blue,red,green,2
yellow,blue,yellow,blue,blue,red,green,yellow,red,green,2
yellow,blue,red,red,yellow,blue,green,yellow,blue,green,4
yellow,blue,blue,yellow,yellow,red,green,blue,red,green,1
yellow,green,red,green,green,blue,blue,yellow,yellow,red,2
yellow,green,green,blue,blue,yellow,yellow,red,red,green,1
yellow,green,yellow,blue,green,yellow,blue,red,red,green,2